RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29
102001,0,United States,country,,2023-02-28,0.3,0.3,1.0
394913,1,"New York, NY",msa,NY,2023-02-28,0.5,0.5,-0.8
753899,2,"Los Angeles, CA",msa,CA,2023-02-28,-1.2,-2.4,-2.2
394463,3,"Chicago, IL",msa,IL,2023-02-28,0.4,-0.1,-1.9
394514,4,"Dallas, TX",msa,TX,2023-02-28,-0.2,-0.4,-0.1
394692,5,"Houston, TX",msa,TX,2023-02-28,-0.1,-0.7,-1.0
395209,6,"Washington, DC",msa,VA,2023-02-28,0.1,-0.1,-1.8
394856,7,"Miami, FL",msa,FL,2023-02-28,0.2,0.0,1.7
394974,8,"Philadelphia, PA",msa,PA,2023-02-28,0.4,0.3,0.0
394347,9,"Atlanta, GA",msa,GA,2023-02-28,-0.1,-0.5,1.6
394976,10,"Phoenix, AZ",msa,AZ,2023-02-28,-0.4,-0.9,0.7
394404,11,"Boston, MA",msa,MA,2023-02-28,0.1,-0.1,-1.4
395057,12,"San Francisco, CA",msa,CA,2023-02-28,-0.2,-0.5,-2.7
395025,13,"Riverside, CA",msa,CA,2023-02-28,-0.6,-1.4,-1.2
394532,14,"Detroit, MI",msa,MI,2023-02-28,0.6,0.6,0.4
395078,15,"Seattle, WA",msa,WA,2023-02-28,0.0,-0.1,-0.9
394865,16,"Minneapolis, MN",msa,MN,2023-02-28,0.1,-0.3,-1.6
395056,17,"San Diego, CA",msa,CA,2023-02-28,-0.1,0.1,-0.2
395148,18,"Tampa, FL",msa,FL,2023-02-28,0.0,-0.3,2.3
394530,19,"Denver, CO",msa,CO,2023-02-28,-0.1,-0.5,-1.6
395121,20,"St. Louis, MO",msa,MO,2023-02-28,0.4,0.2,-0.4
394358,21,"Baltimore, MD",msa,MD,2023-02-28,0.6,0.3,-1.3
394458,22,"Charlotte, NC",msa,NC,2023-02-28,-0.1,-0.3,2.0
394943,23,"Orlando, FL",msa,FL,2023-02-28,-0.2,-0.7,0.6
395055,24,"San Antonio, TX",msa,TX,2023-02-28,0.1,-0.2,0.2
394998,25,"Portland, OR",msa,OR,2023-02-28,-0.1,-0.6,-2.0
395045,26,"Sacramento, CA",msa,CA,2023-02-28,-0.4,-1.0,-2.1
394775,27,"Las Vegas, NV",msa,NV,2023-02-28,-0.7,-1.7,-1.9
394982,28,"Pittsburgh, PA",msa,PA,2023-02-28,0.2,-0.3,-1.2
394355,29,"Austin, TX",msa,TX,2023-02-28,-0.6,-1.3,-0.6
394466,30,"Cincinnati, OH",msa,OH,2023-02-28,0.4,0.5,1.1
394735,31,"Kansas City, MO",msa,MO,2023-02-28,0.6,0.9,1.4
394492,32,"Columbus, OH",msa,OH,2023-02-28,0.4,0.8,1.9
394705,33,"Indianapolis, IN",msa,IN,2023-02-28,0.3,0.4,2.1
394475,34,"Cleveland, OH",msa,OH,2023-02-28,0.3,0.1,-0.1
395059,35,"San Jose, CA",msa,CA,2023-02-28,-1.6,-3.2,-3.6
394902,36,"Nashville, TN",msa,TN,2023-02-28,0.0,-0.1,1.6
395194,37,"Virginia Beach, VA",msa,VA,2023-02-28,0.2,-0.1,-1.0
395005,38,"Providence, RI",msa,RI,2023-02-28,0.3,0.1,0.1
394714,39,"Jacksonville, FL",msa,FL,2023-02-28,-0.2,-0.6,1.6
394862,40,"Milwaukee, WI",msa,WI,2023-02-28,0.7,0.6,-0.4
394935,41,"Oklahoma City, OK",msa,OK,2023-02-28,0.0,-0.3,-0.3
395012,42,"Raleigh, NC",msa,NC,2023-02-28,-0.1,-0.3,0.9
394849,43,"Memphis, TN",msa,TN,2023-02-28,0.3,0.4,2.4
395022,44,"Richmond, VA",msa,VA,2023-02-28,0.4,0.5,0.8
394910,45,"New Orleans, LA",msa,LA,2023-02-28,0.7,0.1,-2.1
394807,46,"Louisville, KY",msa,KY,2023-02-28,0.3,-0.1,-0.3
395053,47,"Salt Lake City, UT",msa,UT,2023-02-28,0.1,0.0,1.3
394669,48,"Hartford, CT",msa,CT,2023-02-28,0.3,0.2,-1.3
394425,49,"Buffalo, NY",msa,NY,2023-02-28,0.2,0.1,0.2
394388,50,"Birmingham, AL",msa,AL,2023-02-28,0.5,0.5,1.5
394640,51,"Grand Rapids, MI",msa,MI,2023-02-28,0.7,1.1,2.0
395031,52,"Rochester, NY",msa,NY,2023-02-28,0.2,0.2,0.2
395167,53,"Tucson, AZ",msa,AZ,2023-02-28,0.0,0.1,2.4
395169,54,"Tulsa, OK",msa,OK,2023-02-28,0.4,0.3,1.5
394619,55,"Fresno, CA",msa,CA,2023-02-28,-0.2,-0.4,-0.1
753924,56,"Urban Honolulu, HI",msa,HI,2023-02-28,-0.5,-1.1,-3.2
394938,57,"Omaha, NE",msa,NE,2023-02-28,0.4,0.6,0.6
395238,58,"Worcester, MA",msa,MA,2023-02-28,0.3,0.2,-0.1
394415,59,"Bridgeport, CT",msa,CT,2023-02-28,0.4,0.4,-0.8
394653,60,"Greenville, SC",msa,SC,2023-02-28,0.4,0.7,2.0
394312,61,"Albuquerque, NM",msa,NM,2023-02-28,0.3,0.7,2.2
394357,62,"Bakersfield, CA",msa,CA,2023-02-28,-0.1,-0.2,0.5
394308,63,"Albany, NY",msa,NY,2023-02-28,0.5,0.5,-0.7
394753,64,"Knoxville, TN",msa,TN,2023-02-28,0.8,1.3,4.2
394843,65,"McAllen, TX",msa,TX,2023-02-28,0.1,0.1,1.7
394367,66,"Baton Rouge, LA",msa,LA,2023-02-28,0.5,-0.1,-3.0
753906,67,"North Port, FL",msa,FL,2023-02-28,-0.1,-0.2,2.0
394908,68,"New Haven, CT",msa,CT,2023-02-28,0.4,0.2,-0.2
394486,69,"Columbia, SC",msa,SC,2023-02-28,0.5,0.8,2.0
394318,70,"Allentown, PA",msa,PA,2023-02-28,0.5,0.6,1.1
394561,71,"El Paso, TX",msa,TX,2023-02-28,0.6,0.7,1.4
394952,72,"Oxnard, CA",msa,CA,2023-02-28,-0.4,-1.0,-2.6
394457,73,"Charleston, SC",msa,SC,2023-02-28,0.2,0.2,1.0
394440,75,"Cape Coral, FL",msa,FL,2023-02-28,-0.6,-1.5,-0.2
